id_commande,date,id_client,categorie,produit,quantite,prix_unitaire,remise,montant,canal,region,paiement
CMD100632,2024-01-02,CLI00539,Maison,Lampe de bureau LED,4,34.9,0.0,139.6,Application mobile,Nouvelle-Aquitaine,Virement
CMD105227,2024-01-02,CLI01861,Sport,Haltères 5kg,1,39.9,0.0,39.9,Site web,Auvergne-Rhône-Alpes,Virement
CMD103095,2024-01-02,CLI00106,Maison,Lampe de bureau LED,4,34.9,0.0,139.6,Marketplace,Auvergne-Rhône-Alpes,Carte bancaire
CMD103876,2024-01-02,CLI01980,Livres,Livre de cuisine,3,24.9,0.0,74.7,Site web,Auvergne-Rhône-Alpes,Carte bancaire
CMD105661,2024-01-02,CLI00372,Électronique,Chargeur sans fil,1,24.9,0.0,24.9,Application mobile,Grand Est,Carte bancaire
CMD104074,2024-01-02,CLI00118,Maison,Set de couverts,2,44.9,0.2,71.84,Application mobile,Grand Est,Carte bancaire
CMD105316,2024-01-02,CLI01642,Beauté,Palette maquillage,2,34.9,0.2,55.84,Application mobile,Occitanie,Carte bancaire
CMD100743,2024-01-02,CLI01203,Électronique,Enceinte portable,2,59.9,0.0,119.8,Application mobile,Île-de-France,PayPal
CMD103307,2024-01-02,CLI01188,Électronique,Chargeur sans fil,3,24.9,0.2,59.76,Site web,Nouvelle-Aquitaine,Carte bancaire
CMD103350,2024-01-02,CLI01320,Électronique,Écouteurs sans fil,1,119.0,0.1,107.1,Application mobile,Île-de-France,Carte bancaire
CMD100567,2024-01-03,CLI00256,Électronique,Écouteurs sans fil,1,119.0,0.0,119.0,Application mobile,Bretagne,Carte bancaire
CMD102839,2024-01-03,CLI00233,Beauté,Sérum visage,1,29.9,0.2,23.92,Site web,Occitanie,PayPal
CMD103764,2024-01-03,CLI02119,Sport,Bandes élastiques,1,15.9,0.0,15.9,Application mobile,Hauts-de-France,Carte bancaire
CMD101725,2024-01-03,CLI00787,Électronique,Montre connectée,4,149.0,0.2,476.8,Site web,Provence-Alpes-Côte d'Azur,PayPal
CMD105539,2024-01-03,CLI02025,Mode,T-shirt coton bio,2,19.9,0.2,31.84,Site web,Nouvelle-Aquitaine,Virement
CMD103878,2024-01-03,CLI00549,Électronique,Écouteurs sans fil,2,119.0,0.2,190.4,Site web,Île-de-France,Virement
CMD101836,2024-01-03,CLI00250,Mode,Écharpe laine,2,29.9,0.1,53.82,Application mobile,Auvergne-Rhône-Alpes,Carte bancaire
CMD100414,2024-01-03,CLI01535,Livres,Livre de cuisine,2,24.9,0.2,39.84,Application mobile,Occitanie,Carte bancaire
CMD104772,2024-01-04,CLI01298,Mode,Veste légère,4,69.9,0.0,279.6,Marketplace,Provence-Alpes-Côte d'Azur,Carte bancaire
CMD100722,2024-01-04,CLI01943,Électronique,Écouteurs sans fil,1,119.0,0.0,119.0,Site web,Auvergne-Rhône-Alpes,PayPal
CMD102584,2024-01-04,CLI01199,Maison,Cadre photo,2,14.9,0.0,29.8,Site web,Île-de-France,PayPal
CMD100762,2024-01-04,CLI01503,Mode,Écharpe laine,1,29.9,0.0,29.9,Site web,Île-de-France,Carte bancaire
CMD102730,2024-01-04,CLI00178,Sport,Tapis de yoga,2,29.9,0.2,47.84,Site web,Hauts-de-France,Carte bancaire
CMD105423,2024-01-04,CLI00771,Électronique,Montre connectée,1,149.0,0.0,149.0,Application mobile,Île-de-France,PayPal
CMD100774,2024-01-04,CLI01071,Mode,Veste légère,1,69.9,0.0,69.9,Application mobile,Auvergne-Rhône-Alpes,Carte bancaire
CMD102492,2024-01-04,CLI00745,Livres,BD édition limitée,3,29.9,0.0,89.7,Site web,Hauts-de-France,PayPal
CMD102604,2024-01-04,CLI01133,Maison,Lampe de bureau LED,3,34.9,0.0,104.7,Site web,Bretagne,PayPal
CMD103823,2024-01-04,CLI00789,Beauté,Crème hydratante,2,22.9,0.0,45.8,Marketplace,Provence-Alpes-Côte d'Azur,Carte bancaire
CMD102350,2024-01-04,CLI00818,Sport,Tapis de yoga,1,29.9,0.0,29.9,Site web,Hauts-de-France,PayPal
CMD103453,2024-01-04,CLI00522,Beauté,Sérum visage,1,29.9,0.1,26.91,Site web,Île-de-France,PayPal
CMD100840,2024-01-04,CLI00656,Électronique,Montre connectée,2,149.0,0.0,298.0,Site web,Hauts-de-France,Carte bancaire
CMD102393,2024-01-04,CLI01368,Électronique,Enceinte portable,3,59.9,0.0,179.7,Application mobile,Auvergne-Rhône-Alpes,Carte bancaire
CMD100589,2024-01-04,CLI01392,Électronique,Écouteurs sans fil,2,119.0,0.2,190.4,Site web,Grand Est,Carte bancaire
CMD105685,2024-01-04,CLI01137,Beauté,Parfum 50ml,1,59.0,0.0,59.0,Site web,Provence-Alpes-Côte d'Azur,Carte bancaire
CMD105173,2024-01-04,CLI00435,Sport,Haltères 5kg,1,39.9,0.0,39.9,Site web,Hauts-de-France,Carte bancaire
CMD105399,2024-01-04,CLI00806,Sport,Gourde isotherme,1,19.9,0.1,17.91,Site web,Provence-Alpes-Côte d'Azur,Virement
CMD100810,2024-01-04,CLI00878,Mode,Sneakers,2,89.0,0.0,178.0,Marketplace,Hauts-de-France,Carte bancaire
CMD102121,2024-01-05,CLI00747,Sport,Bandes élastiques,1,15.9,0.0,15.9,Site web,Auvergne-Rhône-Alpes,Carte bancaire
CMD104280,2024-01-05,CLI01004,Sport,Haltères 5kg,4,39.9,0.2,127.68,Site web,Grand Est,Carte bancaire
CMD100534,2024-01-05,CLI01517,Sport,Tapis de yoga,1,29.9,0.1,26.91,Application mobile,Hauts-de-France,PayPal
CMD103413,2024-01-05,CLI01236,Livres,BD édition limitée,2,29.9,0.1,53.82,Site web,Auvergne-Rhône-Alpes,Virement
CMD100987,2024-01-05,CLI02008,Beauté,Crème hydratante,1,22.9,0.2,18.32,Application mobile,Nouvelle-Aquitaine,PayPal
CMD104681,2024-01-05,CLI01553,Beauté,Crème hydratante,2,22.9,0.0,45.8,Site web,Provence-Alpes-Côte d'Azur,Carte bancaire
CMD104402,2024-01-05,CLI01574,Mode,T-shirt coton bio,2,19.9,0.0,39.8,Application mobile,Île-de-France,Carte bancaire
CMD100074,2024-01-05,CLI00345,Mode,Veste légère,2,69.9,0.1,125.82,Site web,Provence-Alpes-Côte d'Azur,Carte bancaire
CMD102570,2024-01-05,CLI02053,Mode,Veste légère,4,69.9,0.1,251.64,Site web,Auvergne-Rhône-Alpes,Carte bancaire
CMD102580,2024-01-06,CLI00710,Électronique,Écouteurs sans fil,2,119.0,0.0,238.0,Marketplace,Occitanie,Virement
CMD104247,2024-01-06,CLI01599,Électronique,Enceinte portable,1,59.9,0.1,53.91,Site web,Provence-Alpes-Côte d'Azur,PayPal
CMD105610,2024-01-06,CLI00833,Mode,Veste légère,1,69.9,0.1,62.91,Site web,Île-de-France,Carte bancaire
CMD103697,2024-01-06,CLI01835,Sport,Haltères 5kg,1,39.9,0.1,35.91,Site web,Hauts-de-France,Virement
CMD104256,2024-01-06,CLI01646,Électronique,Écouteurs sans fil,2,119.0,0.0,238.0,Application mobile,Île-de-France,PayPal
CMD104142,2024-01-06,CLI00674,Maison,Lampe de bureau LED,1,34.9,0.0,34.9,Application mobile,Nouvelle-Aquitaine,PayPal
CMD104337,2024-01-06,CLI00001,Beauté,Sérum visage,3,29.9,0.0,89.7,Application mobile,Île-de-France,PayPal
CMD103659,2024-01-06,CLI00065,Maison,Set de couverts,2,44.9,0.2,71.84,Application mobile,Auvergne-Rhône-Alpes,Carte bancaire
CMD104745,2024-01-06,CLI00999,Électronique,Chargeur sans fil,2,24.9,0.0,49.8,Site web,Provence-Alpes-Côte d'Azur,Carte bancaire
CMD100226,2024-01-06,CLI00528,Sport,Haltères 5kg,1,39.9,0.2,31.92,Site web,Auvergne-Rhône-Alpes,Carte bancaire
CMD104429,2024-01-07,CLI00958,Électronique,Écouteurs sans fil,1,119.0,0.1,107.1,Site web,Île-de-France,PayPal
CMD100135,2024-01-07,CLI00357,Beauté,Crème hydratante,1,22.9,0.0,22.9,Site web,Auvergne-Rhône-Alpes,Carte bancaire
CMD104155,2024-01-07,CLI02106,Maison,Diffuseur d'huiles,3,39.9,0.1,107.73,Marketplace,Hauts-de-France,PayPal
CMD100642,2024-01-07,CLI01033,Électronique,Chargeur sans fil,1,24.9,0.1,22.41,Site web,Bretagne,Carte bancaire
CMD105571,2024-01-07,CLI01452,Électronique,Casque audio Bluetooth,1,79.9,0.0,79.9,Site web,Occitanie,Carte bancaire
CMD100175,2024-01-07,CLI00571,Sport,Gourde isotherme,1,19.9,0.2,15.92,Site web,Auvergne-Rhône-Alpes,PayPal
CMD102361,2024-01-07,CLI02106,Sport,Bandes élastiques,1,15.9,0.0,15.9,Site web,Hauts-de-France,Carte bancaire
CMD105921,2024-01-07,CLI00434,Maison,Plaid polaire,3,24.9,0.0,74.7,Application mobile,Île-de-France,PayPal
CMD105852,2024-01-07,CLI01034,Sport,Haltères 5kg,1,39.9,0.1,35.91,Site web,Grand Est,Carte bancaire
CMD102275,2024-01-07,CLI00281,Beauté,Palette maquillage,2,34.9,0.2,55.84,Marketplace,Provence-Alpes-Côte d'Azur,Virement
CMD104221,2024-01-08,CLI00734,Maison,Lampe de bureau LED,1,34.9,0.2,27.92,Site web,Auvergne-Rhône-Alpes,Carte bancaire
CMD105217,2024-01-08,CLI01474,Électronique,Enceinte portable,3,59.9,0.0,179.7,Site web,Auvergne-Rhône-Alpes,Carte bancaire
CMD100646,2024-01-08,CLI00682,Mode,Veste légère,1,69.9,0.1,62.91,Site web,Bretagne,Carte bancaire
CMD100272,2024-01-08,CLI01537,Électronique,Enceinte portable,1,59.9,0.0,59.9,Site web,Auvergne-Rhône-Alpes,Virement
CMD100124,2024-01-08,CLI01549,Maison,Plaid polaire,4,24.9,0.2,79.68,Application mobile,Bretagne,PayPal
CMD101205,2024-01-08,CLI01905,Beauté,Palette maquillage,1,34.9,0.0,34.9,Site web,Île-de-France,Carte bancaire
CMD101243,2024-01-08,CLI00322,Sport,Tapis de yoga,1,29.9,0.2,23.92,Site web,Auvergne-Rhône-Alpes,Carte bancaire
CMD102697,2024-01-08,CLI01914,Mode,Écharpe laine,3,29.9,0.2,71.76,Application mobile,Occitanie,Carte bancaire
CMD102822,2024-01-08,CLI00022,Sport,Tapis de yoga,1,29.9,0.0,29.9,Site web,Provence-Alpes-Côte d'Azur,PayPal
CMD102383,2024-01-08,CLI00466,Électronique,Chargeur sans fil,1,24.9,0.0,24.9,Marketplace,Île-de-France,Carte bancaire
CMD103861,2024-01-08,CLI00114,Mode,Jean slim,3,49.9,0.2,119.76,Site web,Provence-Alpes-Côte d'Azur,Carte bancaire
CMD105901,2024-01-08,CLI00076,Sport,Bandes élastiques,1,15.9,0.2,12.72,Application mobile,Occitanie,Carte bancaire
CMD101100,2024-01-08,CLI01147,Livres,Livre de cuisine,1,24.9,0.0,24.9,Application mobile,Bretagne,PayPal
CMD101308,2024-01-08,CLI00220,Électronique,Casque audio Bluetooth,1,79.9,0.2,63.92,Application mobile,Île-de-France,PayPal
CMD105155,2024-01-08,CLI00217,Mode,T-shirt coton bio,1,19.9,0.1,17.91,Site web,Occitanie,Carte bancaire
CMD105323,2024-01-08,CLI01646,Maison,Lampe de bureau LED,1,34.9,0.0,34.9,Site web,Provence-Alpes-Côte d'Azur,PayPal
CMD104418,2024-01-08,CLI02048,Livres,BD édition limitée,1,29.9,0.1,26.91,Application mobile,Provence-Alpes-Côte d'Azur,PayPal
CMD101668,2024-01-08,CLI01748,Électronique,Casque audio Bluetooth,2,79.9,0.0,159.8,Application mobile,Hauts-de-France,PayPal
CMD105059,2024-01-08,CLI01060,Beauté,Crème hydratante,1,22.9,0.2,18.32,Site web,Île-de-France,Carte bancaire
CMD104449,2024-01-08,CLI00087,Électronique,Enceinte portable,1,59.9,0.2,47.92,Application mobile,Île-de-France,PayPal
CMD101948,2024-01-08,CLI01777,Beauté,Palette maquillage,4,34.9,0.0,139.6,Site web,Nouvelle-Aquitaine,Carte bancaire
CMD103352,2024-01-08,CLI01738,Électronique,Chargeur sans fil,3,24.9,0.1,67.23,Site web,Île-de-France,Carte bancaire
CMD103530,2024-01-08,CLI01126,Électronique,Enceinte portable,4,59.9,0.0,239.6,Application mobile,Île-de-France,PayPal
CMD103679,2024-01-09,CLI01167,Beauté,Sérum visage,2,29.9,0.0,59.8,Site web,Nouvelle-Aquitaine,PayPal
CMD101720,2024-01-09,CLI01996,Électronique,Enceinte portable,1,59.9,0.0,59.9,Site web,Île-de-France,Carte bancaire
CMD104774,2024-01-09,CLI01158,Beauté,Sérum visage,1,29.9,0.1,26.91,Site web,Grand Est,Carte bancaire
CMD103178,2024-01-09,CLI00435,Livres,Livre de cuisine,2,24.9,0.0,49.8,Application mobile,Île-de-France,PayPal
CMD102533,2024-01-09,CLI01618,Maison,Plaid polaire,1,24.9,0.2,19.92,Site web,Île-de-France,Carte bancaire
CMD105205,2024-01-09,CLI01235,Mode,Jean slim,3,49.9,0.0,149.7,Site web,Île-de-France,Carte bancaire
CMD104672,2024-01-09,CLI01672,Électronique,Chargeur sans fil,1,24.9,0.2,19.92,Site web,Auvergne-Rhône-Alpes,PayPal
CMD103393,2024-01-09,CLI01153,Maison,Plaid polaire,2,24.9,0.1,44.82,Marketplace,Auvergne-Rhône-Alpes,Carte bancaire
CMD100269,2024-01-09,CLI01659,Électronique,Casque audio Bluetooth,1,79.9,0.2,63.92,Application mobile,Nouvelle-Aquitaine,Virement
CMD102298,2024-01-09,CLI00517,Beauté,Sérum visage,1,29.9,0.0,29.9,Site web,Provence-Alpes-Côte d'Azur,PayPal
CMD102718,2024-01-09,CLI01391,Livres,Roman best-seller,1,18.9,0.0,18.9,Marketplace,Provence-Alpes-Côte d'Azur,Carte bancaire
CMD104326,2024-01-09,CLI00318,Sport,Gourde isotherme,2,19.9,0.0,39.8,Marketplace,Hauts-de-France,Carte bancaire
CMD103217,2024-01-09,CLI01121,Livres,Livre de cuisine,2,24.9,0.0,49.8,Application mobile,Nouvelle-Aquitaine,PayPal
CMD102349,2024-01-10,CLI00073,Mode,T-shirt coton bio,3,19.9,0.2,47.76,Site web,Auvergne-Rhône-Alpes,PayPal
CMD105929,2024-01-10,CLI01304,Mode,Jean slim,2,49.9,0.1,89.82,Application mobile,Bretagne,Carte bancaire
CMD103418,2024-01-10,CLI01083,Maison,Set de couverts,1,44.9,0.0,44.9,Site web,Auvergne-Rhône-Alpes,PayPal
CMD101160,2024-01-10,CLI02062,Mode,T-shirt coton bio,1,19.9,0.0,19.9,Marketplace,Provence-Alpes-Côte d'Azur,Carte bancaire
CMD105206,2024-01-10,CLI01233,Livres,BD édition limitée,3,29.9,0.2,71.76,Marketplace,Île-de-France,PayPal
CMD100434,2024-01-10,CLI00889,Livres,BD édition limitée,2,29.9,0.0,59.8,Site web,Île-de-France,Virement
CMD103605,2024-01-10,CLI00771,Beauté,Crème hydratante,1,22.9,0.1,20.61,Site web,Provence-Alpes-Côte d'Azur,PayPal
CMD100634,2024-01-10,CLI01931,Sport,Gourde isotherme,1,19.9,0.0,19.9,Site web,Auvergne-Rhône-Alpes,Carte bancaire
CMD103037,2024-01-10,CLI00581,Beauté,Crème hydratante,1,22.9,0.2,18.32,Site web,Île-de-France,PayPal
CMD101044,2024-01-10,CLI01685,Sport,Bandes élastiques,4,15.9,0.0,63.6,Site web,Grand Est,Carte bancaire
CMD104837,2024-01-10,CLI00474,Sport,Gourde isotherme,1,19.9,0.0,19.9,Site web,Auvergne-Rhône-Alpes,PayPal
CMD104737,2024-01-10,CLI01995,Beauté,Parfum 50ml,4,59.0,0.2,188.8,Application mobile,Nouvelle-Aquitaine,PayPal
CMD105624,2024-01-10,CLI00476,Sport,Bandes élastiques,4,15.9,0.0,63.6,Site web,Île-de-France,Carte bancaire
CMD103800,2024-01-10,CLI00359,Livres,Livre de cuisine,2,24.9,0.2,39.84,Site web,Provence-Alpes-Côte d'Azur,Carte bancaire
CMD104146,2024-01-10,CLI01864,Maison,Lampe de bureau LED,1,34.9,0.0,34.9,Application mobile,Occitanie,Carte bancaire
CMD105186,2024-01-10,CLI02029,Sport,Haltères 5kg,1,39.9,0.0,39.9,Site web,Nouvelle-Aquitaine,Carte bancaire
CMD100731,2024-01-10,CLI01889,Mode,Jean slim,1,49.9,0.0,49.9,Application mobile,Provence-Alpes-Côte d'Azur,PayPal
CMD105102,2024-01-10,CLI01140,Électronique,Casque audio Bluetooth,3,79.9,0.0,239.7,Application mobile,Nouvelle-Aquitaine,PayPal
CMD101731,2024-01-10,CLI00303,Maison,Set de couverts,1,44.9,0.0,44.9,Application mobile,Grand Est,PayPal
CMD102918,2024-01-10,CLI00894,Sport,Tapis de yoga,2,29.9,0.0,59.8,Application mobile,Hauts-de-France,Carte bancaire
CMD103458,2024-01-10,CLI00193,Électronique,Chargeur sans fil,1,24.9,0.0,24.9,Application mobile,Île-de-France,Carte bancaire
CMD102045,2024-01-10,CLI02023,Mode,Veste légère,1,69.9,0.1,62.91,Application mobile,Provence-Alpes-Côte d'Azur,PayPal
CMD104411,2024-01-11,CLI01285,Électronique,Écouteurs sans fil,2,119.0,0.1,214.2,Application mobile,Nouvelle-Aquitaine,Carte bancaire
CMD100997,2024-01-11,CLI01608,Livres,BD édition limitée,1,29.9,0.2,23.92,Application mobile,Provence-Alpes-Côte d'Azur,Carte bancaire
CMD101742,2024-01-11,CLI00254,Livres,Livre de cuisine,2,24.9,0.0,49.8,Site web,Île-de-France,Carte bancaire
CMD105708,2024-01-11,CLI00685,Électronique,Écouteurs sans fil,3,119.0,0.2,285.6,Site web,Île-de-France,Carte bancaire
CMD105029,2024-01-11,CLI00263,Mode,Jean slim,3,49.9,0.2,119.76,Site web,Île-de-France,Carte bancaire
CMD104968,2024-01-11,CLI01739,Beauté,Sérum visage,1,29.9,0.0,29.9,Marketplace,Île-de-France,Virement
CMD101441,2024-01-11,CLI01974,Beauté,Sérum visage,1,29.9,0.2,23.92,Site web,Bretagne,Carte bancaire
CMD102129,2024-01-11,CLI01642,Maison,Cadre photo,1,14.9,0.0,14.9,Site web,Provence-Alpes-Côte d'Azur,PayPal
CMD100871,2024-01-11,CLI01841,Maison,Cadre photo,1,14.9,0.1,13.41,Application mobile,Auvergne-Rhône-Alpes,Carte bancaire
CMD105184,2024-01-11,CLI00755,Mode,Veste légère,2,69.9,0.0,139.8,Application mobile,Grand Est,Carte bancaire
CMD105480,2024-01-11,CLI02089,Électronique,Montre connectée,1,149.0,0.0,149.0,Site web,Bretagne,Carte bancaire
CMD105372,2024-01-11,CLI01290,Livres,BD édition limitée,2,29.9,0.0,59.8,Application mobile,Occitanie,Carte bancaire
CMD102957,2024-01-12,CLI00908,Mode,T-shirt coton bio,1,19.9,0.0,19.9,Application mobile,Auvergne-Rhône-Alpes,PayPal
CMD100820,2024-01-12,CLI02152,Beauté,Palette maquillage,1,34.9,0.1,31.41,Application mobile,Bretagne,Carte bancaire
CMD100825,2024-01-12,CLI01694,Mode,Jean slim,3,49.9,0.2,119.76,Site web,Occitanie,PayPal
CMD104458,2024-01-12,CLI01601,Maison,Set de couverts,3,44.9,0.0,134.7,Marketplace,Île-de-France,PayPal
CMD104135,2024-01-12,CLI00573,Maison,Set de couverts,2,44.9,0.1,80.82,Application mobile,Provence-Alpes-Côte d'Azur,Carte bancaire
CMD100484,2024-01-12,CLI00094,Maison,Cadre photo,2,14.9,0.0,29.8,Site web,Auvergne-Rhône-Alpes,PayPal
CMD102096,2024-01-12,CLI00662,Livres,BD édition limitée,2,29.9,0.0,59.8,Application mobile,Île-de-France,Carte bancaire
CMD105450,2024-01-12,CLI00855,Sport,Tapis de yoga,1,29.9,0.2,23.92,Marketplace,Occitanie,Carte bancaire
CMD102258,2024-01-12,CLI02182,Mode,Sneakers,1,89.0,0.0,89.0,Marketplace,Nouvelle-Aquitaine,Carte bancaire
CMD105175,2024-01-12,CLI01314,Mode,T-shirt coton bio,1,19.9,0.0,19.9,Site web,Provence-Alpes-Côte d'Azur,Carte bancaire
CMD101156,2024-01-12,CLI00936,Maison,Set de couverts,1,44.9,0.1,40.41,Site web,Auvergne-Rhône-Alpes,Carte bancaire
CMD103206,2024-01-12,CLI00841,Mode,Écharpe laine,2,29.9,0.0,59.8,Site web,Auvergne-Rhône-Alpes,Carte bancaire
CMD101389,2024-01-13,CLI01075,Maison,Cadre photo,4,14.9,0.0,59.6,Marketplace,Nouvelle-Aquitaine,PayPal
CMD100794,2024-01-13,CLI02168,Sport,Bandes élastiques,1,15.9,0.2,12.72,Marketplace,Île-de-France,PayPal
CMD100238,2024-01-13,CLI01691,Sport,Gourde isotherme,4,19.9,0.2,63.68,Application mobile,Nouvelle-Aquitaine,Carte bancaire
CMD102151,2024-01-13,CLI01034,Sport,Tapis de yoga,1,29.9,0.0,29.9,Site web,Nouvelle-Aquitaine,Carte bancaire
CMD103995,2024-01-13,CLI01863,Sport,Tapis de yoga,2,29.9,0.2,47.84,Application mobile,Auvergne-Rhône-Alpes,PayPal
CMD102193,2024-01-13,CLI00630,Électronique,Casque audio Bluetooth,3,79.9,0.0,239.7,Site web,Île-de-France,PayPal
CMD100740,2024-01-13,CLI00138,Mode,T-shirt coton bio,3,19.9,0.0,59.7,Application mobile,Île-de-France,PayPal
CMD101728,2024-01-13,CLI01249,Beauté,Sérum visage,1,29.9,0.0,29.9,Application mobile,Île-de-France,Carte bancaire
CMD105593,2024-01-13,CLI01204,Maison,Plaid polaire,2,24.9,0.1,44.82,Marketplace,Île-de-France,Carte bancaire
CMD100286,2024-01-13,CLI01575,Électronique,Montre connectée,1,149.0,0.0,149.0,Site web,Île-de-France,Carte bancaire
CMD101381,2024-01-13,CLI00328,Maison,Set de couverts,1,44.9,0.0,44.9,Application mobile,Grand Est,PayPal
CMD104941,2024-01-13,CLI00550,Maison,Lampe de bureau LED,2,34.9,0.1,62.82,Site web,Île-de-France,Carte bancaire
CMD103438,2024-01-13,CLI01900,Maison,Lampe de bureau LED,4,34.9,0.0,139.6,Application mobile,Nouvelle-Aquitaine,Carte bancaire
CMD103792,2024-01-13,CLI00598,Mode,Écharpe laine,4,29.9,0.0,119.6,Site web,Bretagne,Carte bancaire
CMD104541,2024-01-14,CLI00031,Mode,Veste légère,1,69.9,0.1,62.91,Site web,Provence-Alpes-Côte d'Azur,Carte bancaire
CMD102921,2024-01-14,CLI01411,Livres,BD édition limitée,2,29.9,0.0,59.8,Application mobile,Grand Est,Carte bancaire
CMD100422,2024-01-14,CLI00483,Sport,Haltères 5kg,1,39.9,0.0,39.9,Site web,Hauts-de-France,Carte bancaire
CMD105759,2024-01-14,CLI02185,Beauté,Parfum 50ml,1,59.0,0.0,59.0,Marketplace,Provence-Alpes-Côte d'Azur,Carte bancaire
CMD104567,2024-01-14,CLI01655,Électronique,Enceinte portable,1,59.9,0.0,59.9,Marketplace,Auvergne-Rhône-Alpes,Virement
CMD102387,2024-01-14,CLI00164,Maison,Plaid polaire,1,24.9,0.2,19.92,Marketplace,Occitanie,Carte bancaire
CMD101220,2024-01-14,CLI00655,Beauté,Parfum 50ml,2,59.0,0.2,94.4,Application mobile,Provence-Alpes-Côte d'Azur,Carte bancaire
CMD105177,2024-01-14,CLI00526,Électronique,Enceinte portable,2,59.9,0.0,119.8,Application mobile,Occitanie,Carte bancaire
CMD101068,2024-01-14,CLI02115,Électronique,Enceinte portable,1,59.9,0.0,59.9,Marketplace,Île-de-France,PayPal
CMD103933,2024-01-14,CLI01111,Maison,Diffuseur d'huiles,4,39.9,0.1,143.64,Site web,Île-de-France,Carte bancaire
CMD104791,2024-01-15,CLI01184,Beauté,Palette maquillage,2,34.9,0.2,55.84,Application mobile,Occitanie,Carte bancaire
CMD102773,2024-01-15,CLI01170,Beauté,Parfum 50ml,1,59.0,0.1,53.1,Site web,Provence-Alpes-Côte d'Azur,Carte bancaire
CMD104013,2024-01-15,CLI01772,Sport,Haltères 5kg,1,39.9,0.1,35.91,Site web,Île-de-France,Carte bancaire
CMD104323,2024-01-15,CLI00857,Beauté,Sérum visage,2,29.9,0.0,59.8,Application mobile,Nouvelle-Aquitaine,Carte bancaire
